date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Thu Feb 11 2021, Senior Software Engineer,,Former Employee ,"Great place for impact, but not innovation",0,"Great co-workers and the chance to work on really impactful projects.
","Company has become bloated in some senses recently and it's quite hard to really do ""new""or interesting things
Helpfu",,4,3,4,1,,,Negative Outlook,,Disapproves of CEO
Wed Feb 10 2021, Software Engineer,,Former Employee ,Google SWE,0,"Pretty good work life balance
","Not much advancement opportunities for SWE
Helpfu",,4,,,,,,,,
Wed Jan 27 2021, Sales Associate,"Toronto, ON",Former Employee ,Hi,0,"Its Google, so an amazing company
","Lots of hard work done
Helpfu",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Staff Software Engineer,,Former Employee ,Better than it looks like,1,"Tons of smart people in engineer tem
","Hard to get promoted, few chances to change your position
Helpful (1",,4,3,4,1,3,3,Recommends,Neutral Outlook,No Opinion of CEO
Mon Jan 25 2021, Software Engineer,"Vancouver, BC",Former Employee ,Good learning expereince,0,"Good pay and benegits, nice office
","long hours sometimes around new launch
Helpfu",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Sat Jan 23 2021, Software Engineer,,Current Employee ,Great job,0,#NAME?,#NAME?,,5,5,5,5,5,5,Recommends,Positive Outlook,No Opinion of CEO
Sat Feb 06 2021, Analyst,"Toronto, ON",Former Employee ,Great experience,0,"Great office atmosphere and benefits
","Can sometimes overly taxing depending on team's priorities
Helpfu",,4,4,4,5,4,4,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Software Engineer,,Current Employee ,Good place for work,0,"Good place for work. Living cost is lower in waterloo
","have some common problems in large corps
Helpfu",,5,5,5,5,4,5,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Senior Software Engineer,"Montreal, QC",Current Employee ,Love working here,0,"Working on the cutting edge tech
","Being able to have a work life balance sometimes
Helpfu",,5,,,,,,,,
Thu Jan 21 2021, No Name,,Former Employee ,system developer,0,"Google is the best place to work
","everything is good and perfect
Helpfu",,5,5,5,5,5,5,,,
Thu Jan 21 2021, Google Engineering Practicum,"Toronto, ON",Former Employee ,awersome,0,"ver good place to worjk st
","there are nion ncind awesome
Helpfu",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021, Software Engineer,,Current Employee ,Solid company,0,"Great place to chill, high comp
","Not alot of interesting work
Helpfu",,5,,,,,,,,
Thu Feb 04 2021, Product Manager,"Toronto, ON",Current Employee ,"Great place, great employees,",0,"Great environment, fast paced, leadership is awesome
","none that I can actually think of
Helpfu",,4,4,4,4,4,5,,,
Thu Feb 04 2021, Software Developer,"Toronto, ON",Former Employee ,Software Developer,0,"smart people, fast environment, good pay
","sometimes things go too fast
Helpfu",,4,,,,,,,,
Fri Jan 29 2021, Account Executive,"Toronto, ON",Current Employee ,Not as good as you'd think,0,"Perks, Culture, Senior leadership, Great product, WFH during covid19
","Poor middle management, Tons of internal policies and politics that make it hard to do your job well, Roles are not challenging - hiring experienced people to do junior/entry level roles
Advice to Management
Hire better middle management, Toronto office culture is horrible, Quota setting needs to improve
Helpfu","Hire better middle management, Toronto office culture is horrible, Quota setting needs to improve
Helpfu",3,2,3,3,2,2,Doesn't Recommend,Neutral Outlook,Approves of CEO
Tue Jan 26 2021, Software Engineer,"Waterloo, ON",Former Employee ,Good company,0,"Good company to work for, benefits are good
","Hard to get into, deadlines are difficult
Helpfu",,3,,,,,,,,
Tue Jan 26 2021, Software Engineer,"Toronto, ON",Former Employee ,n/a,0,"flexible working time at google
","time consuming design doc at google
Helpfu",,3,,,,,,,,
Mon Jan 11 2021, User Experience Researcher,"Vancouver, BC",Former Employee ,Google UX Research PhD Internship,0,"Lots of pros to working at Google as a PhD intern: - Salary - Benefits - Company culture - Resume boost + future opportunities - Professional development and translation of skills to industry...
","- Big company so you really need to be self-motivated to maximize your experience - Often working longer than 9-5 to get projects done - No ceiling on output (even though work life balance is encouraged) so you can end up working very hard
",,5,4,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Mon Jan 11 2021, User Experience Researcher,"Vancouver, BC",Former Employee ,Google UX Research PhD Internship,0,"Lots of pros to working at Google as a PhD intern:
- Salary
- Benefits
- Company culture
- Resume boost + future opportunities
- Professional development and translation of skills to industry...
","- Big company so you really need to be self-motivated to maximize your experience
- Often working longer than 9-5 to get projects done
- No ceiling on output (even though work life balance is encouraged) so you can end up working very hard
Helpfu",,5,4,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Mon Jan 11 2021, Manager,"Toronto, ON",Former Employee ,Nice,0,"Culture is good for me
","Money is not so good
Advice to Management
More money
Helpfu","More money
Helpfu",5,5,5,5,5,5,Recommends,Neutral Outlook,No Opinion of CEO
Sun Jan 10 2021, Software Developer,N/A,Former Employee ,Great place,0,"Fun environment and great people
","Long hours and realy busy
Helpfu",,5,,,,,,,,
Sun Jan 10 2021, Quality Analyst,"Toronto, ON",Former Employee ,Quality analyst at Google,0,"Everything is good at google.
","I dont have any cons to mention.
Helpfu",,5,,,,,,,,
Mon Jan 11 2021, Software Engineer,"Calgary, AB",Former Employee ,Great place,0,"Learn cool stuff Smart coworkers Best place for an SWE
","High pressure environment Can get stressful at times
",,5,4,4,4,4,4,Recommends,Positive Outlook,Approves of CEO
Sun Jan 24 2021, Account Manager,"North Toronto, ON",Current Employee ,Big company’s have flaws too,0,"But salary and good comp package
","A ton of meetings makes it hard to get stuff done
",,2,2,2,2,3,5,Doesn't Recommend,Positive Outlook,Approves of CEO
Thu Jan 21 2021, Software,,Current Employee ,Overall Good,0,"Great everything except... (see con)
","Business direction over “true good” goals. This hurts the business and slows progress as a whole.
Helpfu",,3,,,,,,,,
Wed Jan 20 2021,Anonymous,,Current Employee ,werew,0,"Nice office, good perks, smart coworkers
","Nothing to add at the moment
Helpfu",,4,,,,,,,,
Mon Jan 04 2021, SWE Intern,,Current Employee ,Good,0,"Good ver good place to work at
","interview is very hard needs long time to prepare
Helpfu",,5,,,,,,,,
Sat Jan 16 2021, Google Specialist,"Calgary, AB",Current Employee ,review,0,"it was a very good experience
","there are not a lot of cons
Helpfu",,3,4,4,4,4,3,Recommends,Positive Outlook,Approves of CEO
Fri Jan 01 2021, Data Scientist,"Ottawa, ON",Current Employee ,great,0,"High salary, good managers and flexible work hours
","None, it is a great place to work
Helpfu",,5,,,,,,,,
Sun Jan 24 2021, Account Manager,"North Toronto, ON",Current Employee ,Big company’s have flaws too,0,"But salary and good comp package
","A ton of meetings makes it hard to get stuff done
Advice to Management
Streamline your work processes for your employees.
Helpfu","Streamline your work processes for your employees.
Helpfu",2,2,2,2,3,5,Doesn't Recommend,Positive Outlook,Approves of CEO
Fri Jan 15 2021, Research Intern,"Toronto, ON",Current Employee ,salary and company culture,0,"fun, enjoyable, good pay, amazing benefits
","team work, communication, work environment, staff
Helpfu",,4,,,,,,,,
Wed Dec 30 2020,Anonymous,"Toronto, ON",Current Employee ,Great company,0,"Everything is amazing great company!
","Nothing. Google is an amazing great company!
Helpfu",,5,,,,,,,,
Mon Jan 11 2021, Software Engineer,,Current Employee ,"Good, hard",0,"fun, collaborative, good place to work
","bad work life balance sometimes
Helpfu",,4,,,,,,,,
Sun Dec 27 2020, Software Engineer,,Current Employee ,It was good,0,"Salary was good for the industry
","Bad work life balance for the industry
Helpfu",,5,4,,,,,,,
Wed Dec 23 2020, Civil Engineer,"Montreal, QC",Former Employee ,Great Company,0,"Great place to work at.
","Not many cons to list.
Helpfu",,5,,,,,,,,
Sun Dec 20 2020, Software Engineer,"Waterloo, ON",Former Employee ,Working at Google,0,"Lots of talented people to learn from
","Very structural, hard to be creative
Helpfu",,5,5,5,5,4,5,Recommends,,
Sun Dec 20 2020, Digital Marketing,"Toronto, ON",Former Employee ,It is very helpful any field’s,0,"I have also knows that about company and good looks
","I’m doing hard work here its my challenge
Helpfu",,5,5,5,5,5,5,Doesn't Recommend,Positive Outlook,Approves of CEO
Fri Dec 18 2020, Software Engineer,,Current Employee ,Software engineer,0,"Competitive salary and employment benefits
","Long Work hours and difficult work
Helpfu",,5,,,,,,,,
Thu Dec 17 2020, Account Executive,"Toronto, ON",Current Employee ,loved it,0,"lots of benefits for new comers
","super busy and very challenging
Helpfu",,5,,,,,,,,
Tue Jan 19 2021, Sales Associate,,Former Employee ,Not worth it,0,"Pretty decent benefits, cool office.
","Toxic environment, hard to get promoted.
Advice to Management
Actually manage as opposed to passively watch as employees struggle to excel.
Helpfu","Actually manage as opposed to passively watch as employees struggle to excel.
Helpfu",1,,,,,,,,
Tue Jan 19 2021, Sales Associate,N/A,Former Employee ,Not worth it,0,"Pretty decent benefits, cool office.
","Toxic environment, hard to get promoted.
Advice to Management
Actually manage as opposed to passively watch as employees struggle to excel.
Helpfu","Actually manage as opposed to passively watch as employees struggle to excel.
Helpfu",1,,,,,,,,
Sat Dec 12 2020, Software Engineer,"Toronto, ON",Current Employee ,great place to work,0,"treats workers well, and has good benefits
","alot of work, but i mean we do get paid for what we do....
Helpfu",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Sat Dec 12 2020, Software Engineer,"Toronto, ON",Current Employee ,Good,0,"Excellent culture in the company
","Canada members do not get any special attention
Helpfu",,5,,,,,,,,
Tue Dec 08 2020, Sales,,Former Employee ,Amazing Place,0,"Nice people and great environment
","no cons for me here!
Helpfu",,5,5,5,5,5,5,,,
Wed Dec 23 2020, Software Engineer,"Toronto, ON",Current Employee ,Google,0,"Good services for software engineers
","A lot of work up to 12 hours a day
Helpfu",,4,,,,,,Doesn't Recommend,Neutral Outlook,No Opinion of CEO
Mon Dec 07 2020, Data Analyst,N/A,Former Employee ,data analyst,0,"good one very good very good
","sometime not good but mostly very good
Helpfu",,5,,,,,,Recommends,Positive Outlook,Approves of CEO
Sat Dec 19 2020,Anonymous,"Kanata, ON",Current Employee ,so so,0,"OK but not ok ... depends
","Rain leaks through the floor and soaks the servers.
Helpfu",,3,1,2,2,2,2,Doesn't Recommend,Positive Outlook,Disapproves of CEO
Tue Dec 01 2020, Intern ,"Montreal, QC",Former Employee ,Engineering,0,"there is a very good work environment
","it is very slow to get things approved
Helpfu",,5,4,4,4,5,5,Recommends,Positive Outlook,Approves of CEO
Fri Nov 27 2020,Anonymous,,Current Employee ,best company,0,"good pay, nice work environment
","overtime requires a lot in google
Helpfu",,5,5,,,,,,,
Thu Nov 26 2020, Software Engineer,"Kitchener, ON",Current Employee ,Good place,0,"Love the culture, lots of talent, great company
","Big company, lots of red tapes
Helpfu",,5,,,,,,,,
Thu Nov 19 2020, Software Engineer,,Former Employee ,great place,0,"benefits and really great team work
","sometimes it is hard to make changes
Helpfu",,5,,,,,,,,
Mon Nov 30 2020, Web Developer,"Toronto, ON",Current Employee ,Google is an awesome place to work!,0,"The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard
","I live a little far.
Helpfu",,4,,,,,,,,
Sat Nov 14 2020, Software Enguneer,,Former Employee ,Best,0,"Best working environment and lunch.
","I can't think of any of the cons
Helpfu",,5,5,5,5,4,5,Recommends,Positive Outlook,Approves of CEO
Fri Nov 27 2020, Manager,"Toronto, ON",Current Employee ,Good company,0,"Great benefits and commitment from everyone
","Work hours are quite long compared
Helpfu",,3,,,,,,,,
Tue Oct 27 2020, Senior Consultant,"Port Ban, NS",Current Employee ,Amazing,0,,"ltant in Port Ban, NS
Recommends
Positive Outlook
No Opinion of CEO
I have been working at Google part-time
Pros
There is so much equality and many opportunities.
Cons
There is none that I can think of.
Helpfu",,5,4,4,4,4,4,Recommends,Positive Outlook,No Opinion of CEO
Wed Oct 21 2020, Marketing,"Toronto, ON",Former Employee ,Great time at a great company,0,"great people and great culture
","not the best time climbing the ladder
Helpfu",,5,,,,,,,,
Wed Nov 04 2020, Analyst,,Former Employee ,Had a great time,0,"Had amazing professionals who were always a joy to work with
","A bit too fast paced for me
Helpfu",,4,,,,,,,,
Thu Nov 05 2020, Project Manager,"Toronto, ON",Current Employee ,nice,0,"good people to work with. Enjoyed my time
","not too many things to complain about. Pay was decent.
",,4,4,4,4,4,4,Recommends,Positive Outlook,
Tue Oct 20 2020, Software Engineer,,Former Employee ,Good,0,"Good pay, benefits, stable, fun environment, cool
","none so far, idk, spam, spam, spam
Helpfu",,5,,,,,,,,
Mon Oct 19 2020, Google SWE,"Toronto, ON",Former Employee ,It was aight.,0,"work, food, benefits, fun workplace
","tight deadlines, high stress environment
",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Sun Nov 01 2020, Engineer,"Vancouver, BC",Former Employee ,software developer,0,"Good paycheck to have fun
","Terrible working conditions to work
Helpfu",,4,1,2,5,5,1,Doesn't Recommend,Negative Outlook,
Mon Oct 19 2020, Google SWE,"Toronto, ON",Former Employee ,It was aight.,0,"work, food, benefits, fun workplace
","tight deadlines, high stress environment
Advice to Management
Better benefits.
Helpfu","Better benefits.
Helpfu",5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Sat Oct 31 2020, Senior Software Engineer,"Ottawa, ON",Current Employee ,Love the company culture,0,"Great place to work and learn new skills
","It's one of the big boys out in tech and you have to keep up
Helpfu",,4,4,4,4,5,5,Recommends,Positive Outlook,Approves of CEO
Mon Oct 26 2020, Technical Solutions Engineer,"Waterloo, ON",Current Employee ,Big company - safe haven,1,#NAME?,"- Big company. Which means the company culture is rather diluted in day to day experience. What really matters is the team, organization, manager and role that you sign up for
- Tough to make an impact as there are plenty of smart people around. This means the ones who are well entrenched in the system tend to perform better. As a new comer, don't expect immediate success
- Imposter syndrome is a real thing. But you need to remember that this is a well oiled machine and will function very well without any single individual. This includes even the CEO - Pichai. Yes, Google will run very well without him.
- Expect to be low balled in terms of salary/designation. Google has plenty of applicants. And they can always find a better person for the role at a cheaper price given enough time. So be ready to eat humble pie and join on the company's terms.
Helpful (1",,4,3,5,5,5,4,Recommends,Positive Outlook,No Opinion of CEO
Sun Oct 25 2020, Job Captain,"Windsor, ON",Current Employee ,Great place for a captain,0,"Captaincy opportunities abound at Google
","No cool hats for captains
Helpfu",,4,,,,,,,,
Sun Oct 25 2020, Software Developer,"Toronto, ON",Current Employee ,good,0,"excellent staff. and good working conditions
","hard to move up in ranks
Helpfu",,3,,,,,,,,
Tue Oct 06 2020, Agent,,Current Employee ,cool company,0,"very nice and cool to work there
","nothing to share here really
Helpfu",,5,,,,,,,,
Mon Oct 19 2020, Chief,,Current Employee ,Meh,0,"the benefits are very good
","not the best place to work at
Helpfu",,3,,,,,,,,
Fri Sep 25 2020, Head of Growth,"Toronto, ON",Current Employee ,Great place,0,#NAME?,#NAME?,,5,5,5,5,5,5,Recommends,Neutral Outlook,Approves of CEO
Fri Sep 25 2020, Software Engineer,"Toronto, ON",Current Employee ,Google,0,"Takes care of their employees
","Big Company brings big pressure to do better
",,5,4,4,4,4,4,Recommends,Positive Outlook,Approves of CEO
Fri Oct 09 2020, Software Developer,N/A,Former Employee ,Great people to work with,0,"Good ambiance and great team to work with
","None I enjoyed my stay
Helpfu",,4,,,,,,,,
Tue Sep 22 2020, Software Developer,"Waterloo, ON",Current Employee ,Great,0,"Great for working over there
","None that I had Noticed
",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Tue Sep 22 2020, Software Developer,"Waterloo, ON",Current Employee ,Great,0,"Great for working over there
","None that I had Noticed
Advice to Management
It was awesome working there
Helpfu","It was awesome working there
Helpfu",5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Fri Sep 18 2020, Software Engineer,"Toronto, ON",Former Employee ,Love working here,0,"Inclusive, helpful colleagues and bosses
","None that I can think of
Helpfu",,5,,,,,,,,
Sun Sep 13 2020, Programmer Analyst,,Former Employee ,Google,0,"They are google, one of the biggest in the world.
","They are not apple, but still pretty good.
Helpfu",,5,3,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Mon Sep 14 2020, Accountant,N/A,Former Employee ,Great,0,"Great reputation, great work culture.
","Poor work life balance and some.
Helpfu",,5,,,,,,,,
Sun Sep 27 2020, Software Developer,"Waterloo, ON",Current Employee ,Good,0,"Fun, challenges you, good performance review process
","Competitive atmosphere, large company, moves slower
Helpfu",,4,,,,,,,,
Wed Sep 23 2020, Project Manager,N/A,Former Employee ,Fun company to work,0,"Lots smart college to work with and learn
","Internal competition is high which can be either good/bad.
Helpfu",,4,,,,,,,,
Sun Sep 06 2020, Front End Developer,"Montreal, QC",Current Employee ,Awesome,0,"Everything is good and I'm enjoying
","Nothing is wrong from them
Helpfu",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Thu Sep 03 2020,Anonymous,,Current Employee ,good company,0,"good company and free perks
","not bad but too big
Helpfu",,5,,,,,,,,
Sun Aug 30 2020, Full Stack Developer,,Current Employee ,Cool Company,0,"Nice technology At Google, really wonderful
","Hard work to get into
Helpfu",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Thu Sep 10 2020, Management Trainee,"Toronto, ON",Former Employee ,Management Trainee,0,"High-profile position
Valuable experience for resume
Partner likes the new location
","Higher risk
Can’t work with a current mentor
Moving expenses
Helpfu",,4,,,,,,,,
Tue Aug 11 2020, Senior Software Engineer,"Toronto, ON",Current Employee ,Really Good work experience,0,"I really loved to work at Google
","I don't have any cons
Helpfu",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Sat Aug 08 2020, Computer Programmer,"Toronto, ON",Current Employee ,haha,0,"everything about google is the best
","nothing about google is bad
Helpfu",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Sun Aug 16 2020, Research Scientist,"Waterloo, ON",Current Employee ,Great workplace,0,"Great benefits and work environments
","Huge and complicated reporting structure and organizations
Helpfu",,4,5,4,4,5,3,,,
Sat Aug 01 2020,Anonymous,,Current Employee ,You don't need me to tell you...,0,"Open Culture. Good Benefits. Brilliant Colleagues.
","Performance review can be tedious
Helpfu",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Sat Sep 05 2020, Software Developer,"Vancouver, BC",Current Employee ,Be your own boss,0,"Be your own boss, passive income
","Keeping up with updates will be your life
Helpfu",,1,,,,,,,,
Fri Aug 07 2020, Social Media Intern,,Former Employee ,intern,0,"good work environment, friendly staff
","lots of work, not a lot of direction
Helpfu",,3,3,3,3,4,4,,,
Thu Jul 23 2020, Retail Manager,"Toronto, ON",Current Employee ,Great!,0,"Fun and friendly with clear objectives
","Fast paced with off hour work sometimes required (with pay)
Helpfu",,5,,,,,,,,
Sat Jul 11 2020,Anonymous,"Toronto, ON",Current Employee ,Great people and company,1,"Truly unique place to work. Super smart people, but also helpful and focused on creating an engaged community within. Amazing perks and ability to move around and try different things. Think outside the box and awesome place to grow and learn.
","Alot of consensus building leads to things getting more complicated. Sometimes, there isn't a clear decision maker.
Advice to Management
Keep to what has made Google great
Helpful (1","Keep to what has made Google great
",5,4,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Mon Jul 13 2020, Technical Solutions Engineer,,Current Employee ,Great company,0,"high pay, good culture, free food.
","not at this time. Everthing is good.
Helpfu",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Sun Jul 05 2020, Software Engineer,"Toronto, ON",Current Employee ,Awesome,1,"very helpful environment ,friendly people
","some places are totally damaged
Helpful (1",,5,5,5,5,5,5,,,
Tue Jul 07 2020,Anonymous,,Former Employee ,Good if you want a big name company and don't really care about what you do in the company,1,"Perks and free coffee and great salary
","Everyone is really strange and hipstery. Also it functions as every big company would.
Helpful (1",,4,,,,,,,,
Mon Jun 29 2020, Enterprise Account Executive,"Vancouver, BC",Current Employee ,Good Company,0,"very good lunch and learning
","very bad work conditions and
Helpfu",,3,,,,,,,,
Wed Jun 24 2020, Software Engineer,"Kitchener, ON",Current Employee ,Decent job,0,"Good pay
Work with incredibly smart people
Many great benefits
","You feel like you arent someone important
Just a tiny cog in a large machine
Helpfu",,4,3,5,4,4,3,Recommends,Positive Outlook,No Opinion of CEO
Thu Jun 18 2020, Software Engineer,"Waterloo, ON",Former Employee ,Good Experience,0,"You get to work with the brightests.
","Not as dynamic as I imagined
Helpfu",,3,5,3,5,5,3,Recommends,Positive Outlook,No Opinion of CEO
Wed Jul 08 2020, Software Engineer,"Montreal, QC",Current Employee ,Going down the drain,1,"There is nothing good here!
","Remote locations especially in Canada aren't great!
",,1,1,1,1,1,1,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Fri May 29 2020, Analyst,"London, ON",Current Employee ,good,0,"i liked working here becaue of food
","i cant think of too many
",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Wed May 27 2020, Software Engineer,,Former Employee ,Software Engineer I,0,"great culture really smart people
","too much work for an individual
Helpfu",,5,,,,,,,,
Thu May 28 2020, Intern,"Waterloo, ON",Current Employee ,Internship Review,0,"Google is an amazing company.
","Too early in the morning
Helpfu",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Tue May 26 2020, Sales Associate,,Former Employee ,Good company,0,"smart managers, good coworkers. problem solvers, analytical.
","Too much politics within the company
Helpfu",,5,5,5,5,5,5,Recommends,,
Mon May 18 2020, Digital Marketing Specialist,"Toronto, ON",Current Employee ,Great company to work for,0,"Good pay and benefits and a lot of focus on Innovation
","Can't think of any after working for 8 years
Helpfu",,5,,,,,,,,
Sun May 03 2020, Account Manager,,Former Employee ,Finance Account Manager,0,"- great place to work, lots of perks and benefits + awesome people!
",#NAME?,,5,,,,,,Recommends,Positive Outlook,
Fri May 29 2020, Analyst,"London, ON",Current Employee ,good,0,"i liked working here becaue of food
","i cant think of too many
Advice to Management
its good
Helpfu","its good
Helpfu",5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Thu May 14 2020, Developer,,Current Employee ,Good,0,"Enjoyed working here all the time
","No cons at all here
Helpfu",,4,4,4,4,4,4,,,
Sun Apr 05 2020, Product Designer,"Montreal, QC",Former Employee ,Great all around,0,"great pay, great vacation policy, great teammates, best company
","tight deadlines, releasing product used by millions
Advice to Management
you're awesome
Helpfu","you're awesome
Helpfu",5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Sat Apr 04 2020, Software Engineer,,Former Employee ,Free snacks,0,"So accessible, good, and healthy
","No downsides, google is great
Helpfu",,5,,,,,,,,
Mon Mar 30 2020, Product Manager,,Current Employee ,"Look mama, I made it",0,"It's Google, only going to get better from here.
","Google? Cons? I'm sorry there are none at the moment.
Helpfu",,5,4,3,5,5,4,Recommends,Positive Outlook,Approves of CEO
Sun Mar 29 2020, Software Engineer,,Current Employee ,Great,0,"Great work-life balance is one
","I'd say none so far
Helpfu",,5,,,,,,,,
Thu Mar 05 2020, Software Developer,,Former Employee ,Google Review,0,"Great company, loved working there
","The food wasn't that good
Helpfu",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Sat Mar 07 2020, Software Engineer,"Brampton, ON",Former Employee ,Good Work Enviorment,0,"A lot of pros are there
","No Cons to be mentioned
Helpfu",,4,5,4,4,5,4,,,
Tue Feb 18 2020,Anonymous,,Former Employee ,i had a good time,0,"good people to work with
","no bad things to say
Helpfu",,5,,,,,,Recommends,Neutral Outlook,No Opinion of CEO
Fri Feb 07 2020,Anonymous,N/A,Former Employee ,Good,0,"Good place to work. Good benifits
","No cons as known nice work culture
Helpfu",,5,3,4,4,2,3,,,
Mon Jan 27 2020, AIG,,Current Employee ,Postive experience,0,"Great culture, environment, support and perks.
","Support wasn't great for finding accommodation in London
Helpfu",,5,,,,,,,,
Mon Jan 27 2020, Software Engineer,"New Toronto, ON",Former Employee ,develop apps,0,"great work culture at google
","no cons at all at google
Advice to Management
keep doing what you do
Helpfu","keep doing what you do
Helpfu",5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Fri Feb 07 2020, User Experience Engineer,"Vancouver, BC",Current Employee ,Golden cage,2,"* Incredibly high pay by Canadian standards * people
","Google technical stack feels like something from 1999, makes me miserable to a point of depression, and you can't leave because of the money while staying makes you hate your job. Also you can't voice your real opinion if it contradicts with general rule. You see too many ppl getting job positions and promotions because of ""diversity"" push and quotas, not because they are actually the best candidate. I could be wrong though, so take my opinion with a grain of salt.
",,2,1,2,5,5,3,Recommends,Positive Outlook,No Opinion of CEO
Sun Feb 02 2020, Account Manager,"Toronto, ON",Current Employee ,great company,1,"good people, great benefits, great products
","getting slower in terms of getting things done
Helpful (1",,4,4,4,4,5,4,Recommends,Positive Outlook,Approves of CEO
